iter	Logloss
0	0.651979914
1	0.6173434128
2	0.5870591694
3	0.5650983877
4	0.546298293
5	0.5301238974
6	0.5170269087
7	0.5051077164
8	0.4954010287
9	0.4862214124
10	0.4796767179
11	0.4736285377
12	0.4683528757
13	0.4631865386
14	0.4589343436
15	0.4550446784
16	0.4503150871
17	0.4464739492
18	0.4430305689
19	0.4397535114
20	0.4373343897
21	0.4345931512
22	0.4319740622
23	0.429978268
24	0.4277507223
25	0.4257543739
26	0.4236158082
27	0.4217867326
28	0.4202954482
29	0.4182144343
30	0.4164988398
31	0.4151907004
32	0.4134437175
33	0.4114031563
34	0.4096853847
35	0.4082132184
36	0.4068772134
37	0.4053043905
38	0.4039806163
39	0.4027326017
40	0.4011672993
41	0.3993708392
42	0.3977777899
43	0.3968243828
44	0.3959094887
45	0.3948513085
46	0.3934349129
47	0.3925525156
48	0.3912563695
49	0.390283211
50	0.3891067208
51	0.3868452931
52	0.3857952271
53	0.3838423396
54	0.3824034615
55	0.3813531185
56	0.3795161266
57	0.3783511151
58	0.3778200855
59	0.3763925674
60	0.3756147056
61	0.3750589769
62	0.3739872597
63	0.3736562766
64	0.3726454758
65	0.3708151732
66	0.3687608375
67	0.3682448094
68	0.3674975839
69	0.3669016401
70	0.3662465611
71	0.3653429083
72	0.3647369899
73	0.3644421846
74	0.3635097162
75	0.362899523
76	0.361578955
77	0.3607247398
78	0.3596964439
79	0.3590785322
80	0.3577952107
81	0.3571864424
82	0.3564977188
83	0.3564911482
84	0.3561286184
85	0.3559434151
86	0.3554681167
87	0.3544185653
88	0.3540437256
89	0.3535142396
90	0.3526184636
91	0.3517917579
92	0.3512791734
93	0.349994506
94	0.3495178223
95	0.3491083088
96	0.348303571
97	0.3478581172
98	0.3472120629
99	0.346074917
100	0.3459691544
101	0.344969674
102	0.3441536553
103	0.3430851047
104	0.3427719334
105	0.342025737
106	0.3413604063
107	0.3409968474
108	0.3405453376
109	0.3396851061
110	0.3392305881
111	0.3382812183
112	0.3378302232
113	0.3369834098
114	0.3368823179
115	0.3363127356
116	0.3350140563
117	0.3336782097
118	0.3330030627
119	0.3324146394
120	0.3315517757
121	0.3305927084
122	0.3300363464
123	0.3292839951
124	0.3291460327
125	0.3286358429
126	0.3281729138
127	0.3274858923
128	0.3270501756
129	0.3262901652
130	0.325601323
131	0.3250466432
132	0.3241599116
133	0.3233588945
134	0.3226742479
135	0.3221340551
136	0.3218767535
137	0.3211993899
138	0.3210373617
139	0.3204652462
140	0.3201594767
141	0.3195301655
142	0.3185495656
143	0.318253177
144	0.3175312641
145	0.3171412447
146	0.3164371634
147	0.3162718697
148	0.3157529126
149	0.3155194393
150	0.3148338823
151	0.3141315426
152	0.3137735646
153	0.3133975572
154	0.3126671936
155	0.3122301906
156	0.3116717506
157	0.3114183478
158	0.3104984269
159	0.3097920894
160	0.3097527253
161	0.3094525962
162	0.3088679728
163	0.3087821198
164	0.307996599
165	0.3077913079
166	0.3075834242
167	0.3072611095
168	0.3066882221
169	0.3063057826
170	0.305184133
171	0.3043755557
172	0.3036718703
173	0.3031020109
174	0.3024409154
175	0.3019277372
176	0.3009183614
177	0.3004133766
178	0.299982489
179	0.299791388
180	0.2992847804
181	0.2989235568
182	0.2980672042
183	0.2976784119
184	0.2973125374
185	0.2968740896
186	0.2967477445
187	0.2966446141
188	0.2958865036
189	0.2951941187
190	0.294349146
191	0.2937394079
192	0.2930927598
193	0.2924771835
194	0.2923472166
195	0.292095496
196	0.2917212896
197	0.2913598087
198	0.2908785136
199	0.2906989309
200	0.2903618522
201	0.2899334978
202	0.2894771591
203	0.2883522835
204	0.2876446003
205	0.2872337608
206	0.2871237432
207	0.2869939149
208	0.2865944948
209	0.2861816169
210	0.2857569238
211	0.2856048703
212	0.2853180605
213	0.2849408854
214	0.2845055646
215	0.2843359169
216	0.2837900045
217	0.2835280521
218	0.2829091311
219	0.2824709802
220	0.2823703236
221	0.281539541
222	0.2811544495
223	0.2805658877
224	0.2801907115
225	0.2798104886
226	0.2795726613
227	0.2791149174
228	0.2786167803
229	0.2781422339
230	0.2775453204
231	0.2772221151
232	0.2771302853
233	0.2764245415
234	0.2759986017
235	0.2757968334
236	0.275757113
237	0.2749745014
238	0.2748250801
239	0.2746014032
240	0.274311506
241	0.2735828444
242	0.2729713054
243	0.2723804479
244	0.2721342292
245	0.2718834191
246	0.2714742223
247	0.2714081404
248	0.2707581675
249	0.2706980229
250	0.2704634017
251	0.27020422
252	0.2696036451
253	0.2691213209
254	0.2685341247
255	0.2682625143
256	0.2677761132
257	0.2670191506
258	0.2666715827
259	0.2665028455
260	0.2659127994
261	0.2654506025
262	0.2651443382
263	0.2651009368
264	0.2646450137
