iter	Passed	Remaining
241	2021	5179
242	2028	5166
243	2035	5154
244	2040	5139
245	2060	5159
246	2066	5145
247	2072	5132
248	2079	5120
249	2091	5120
250	2098	5109
251	2105	5095
252	2112	5084
253	2118	5071
254	2137	5087
255	2144	5076
256	2150	5063
257	2156	5048
258	2163	5037
259	2183	5054
260	2189	5041
261	2196	5030
262	2202	5016
263	2209	5004
264	2215	4991
265	2221	4977
266	2228	4966
267	2234	4952
268	2241	4940
269	2247	4928
270	2253	4914
271	2260	4903
272	2266	4890
273	2273	4878
274	2279	4865
275	2286	4854
276	2293	4842
277	2299	4829
278	2305	4818
279	2312	4806
280	2318	4794
281	2325	4783
282	2332	4773
283	2341	4765
284	2348	4754
285	2355	4743
286	2362	4732
287	2368	4720
288	2375	4709
289	2381	4697
290	2387	4685
291	2394	4674
292	2401	4663
293	2413	4662
294	2419	4650
295	2427	4641
296	2443	4648
297	2449	4636
298	2456	4626
299	2463	4614
300	2469	4602
301	2475	4591
302	2482	4579
303	2489	4570
304	2496	4558
305	2502	4547
306	2521	4558
307	2527	4546
308	2534	4535
309	2541	4525
310	2548	4514
311	2568	4528
312	2576	4519
313	2585	4511
314	2597	4511
315	2606	4502
316	2613	4492
317	2620	4483
318	2628	4473
319	2642	4476
320	2658	4479
321	2664	4468
322	2672	4459
323	2679	4448
324	2686	4439
325	2692	4427
326	2703	4422
327	2709	4411
328	2718	4403
329	2724	4391
330	2734	4387
331	2741	4376
332	2765	4393
333	2771	4381
334	2778	4370
335	2784	4359
336	2791	4349
337	2798	4338
338	2804	4327
339	2825	4337
340	2833	4328
341	2838	4316
342	2845	4304
343	2851	4293
344	2857	4281
345	2863	4269
346	2869	4258
347	2875	4247
348	2882	4237
349	2889	4226
350	2895	4215
351	2902	4205
352	2908	4194
353	2915	4183
354	2920	4171
355	2926	4159
356	2932	4148
357	2938	4137
358	2946	4128
359	2953	4118
360	2959	4107
361	2966	4096
362	2972	4085
363	2980	4077
364	2986	4067
365	2994	4058
366	3001	4048
367	3009	4039
368	3021	4037
369	3029	4027
370	3036	4018
371	3042	4007
372	3048	3997
373	3055	3987
374	3064	3979
375	3071	3970
376	3080	3962
377	3087	3953
378	3095	3944
379	3102	3935
380	3111	3927
381	3118	3917
382	3125	3909
383	3133	3900
384	3141	3892
385	3149	3883
386	3155	3873
387	3162	3863
388	3168	3853
389	3189	3859
390	3195	3849
391	3201	3838
392	3209	3830
393	3216	3820
394	3223	3811
395	3229	3800
396	3235	3789
397	3242	3780
398	3249	3771
399	3258	3763
400	3278	3769
401	3285	3759
402	3293	3751
403	3300	3741
404	3308	3733
405	3319	3728
406	3329	3721
407	3339	3715
408	3347	3707
409	3356	3700
410	3363	3690
411	3371	3682
412	3386	3681
413	3392	3671
414	3399	3661
415	3418	3664
416	3431	3661
417	3438	3651
418	3444	3641
419	3451	3631
420	3462	3626
421	3469	3617
422	3475	3607
423	3482	3597
424	3489	3588
425	3496	3579
426	3504	3570
427	3511	3560
428	3522	3555
429	3529	3546
430	3537	3537
431	3543	3526
432	3550	3517
433	3557	3508
434	3564	3498
435	3584	3502
436	3600	3501
437	3607	3492
438	3616	3485
439	3623	3475
440	3632	3467
441	3647	3465
442	3654	3456
443	3662	3447
444	3672	3441
445	3679	3432
446	3687	3423
447	3695	3414
448	3707	3410
449	3716	3402
450	3722	3392
451	3730	3384
452	3753	3388
453	3770	3388
454	3778	3379
455	3786	3371
456	3800	3368
457	3806	3357
458	3815	3350
459	3821	3339
460	3829	3330
461	3846	3330
462	3852	3320
463	3860	3311
464	3868	3302
465	3876	3294
466	3883	3285
467	3891	3275
468	3899	3267
469	3906	3257
470	3919	3254
471	3928	3245
472	3935	3236
473	3943	3228
474	3953	3220
475	3963	3213
476	3981	3213
477	3997	3211
478	4004	3202
479	4028	3206
480	4036	3197
481	4045	3189
482	4060	3185
483	4066	3176
484	4074	3167
485	4081	3157
486	4089	3148
487	4096	3139
488	4102	3129
489	4110	3120
490	4116	3110
491	4124	3101
492	4134	3094
493	4142	3086
494	4149	3076
495	4156	3067
496	4162	3057
497	4169	3047
498	4176	3038
499	4183	3028
500	4191	3019
501	4211	3020
502	4226	3016
503	4232	3006
504	4241	2998
505	4248	2988
506	4256	2980
507	4262	2970
508	4270	2961
509	4276	2951
510	4289	2946
511	4296	2936
512	4320	2939
513	4327	2929
514	4334	2920
515	4341	2910
516	4348	2902
517	4355	2892
518	4362	2883
519	4370	2874
520	4377	2864
521	4384	2855
522	4390	2845
523	4397	2836
524	4404	2827
525	4411	2818
526	4419	2809
527	4426	2799
528	4433	2790
529	4439	2780
530	4445	2771
531	4456	2764
532	4463	2755
533	4472	2746
534	4477	2737
535	4485	2728
536	4491	2718
537	4499	2709
538	4505	2699
539	4511	2690
540	4518	2681
541	4531	2675
542	4537	2665
543	4543	2655
544	4550	2647
545	4562	2640
546	4568	2630
547	4575	2621
548	4593	2618
549	4608	2614
550	4614	2604
551	4620	2595
552	4627	2585
553	4633	2576
554	4639	2566
555	4647	2557
556	4653	2548
557	4660	2538
558	4666	2529
559	4673	2520
560	4680	2511
561	4686	2501
562	4693	2492
563	4699	2483
564	4706	2473
565	4713	2464
566	4720	2455
567	4727	2446
568	4734	2437
569	4741	2428
570	4747	2419
571	4754	2410
572	4776	2409
573	4782	2399
574	4789	2390
575	4806	2386
576	4812	2377
577	4819	2367
578	4827	2359
579	4833	2350
580	4840	2341
581	4846	2331
582	4868	2329
583	4877	2321
584	4883	2312
585	4890	2303
586	4899	2295
587	4907	2286
588	4913	2277
589	4920	2268
590	4929	2260
591	4934	2250
592	4944	2243
593	4954	2235
594	4991	2239
595	4998	2230
596	5007	2222
597	5014	2213
598	5040	2213
599	5048	2204
600	5057	2196
601	5065	2187
602	5076	2180
603	5083	2171
604	5126	2177
605	5138	2170
606	5147	2162
607	5157	2154
608	5167	2146
609	5176	2138
610	5183	2129
611	5192	2121
612	5202	2113
613	5209	2104
614	5217	2095
615	5227	2087
616	5253	2086
617	5262	2077
618	5270	2068
619	5278	2060
620	5286	2051
621	5298	2044
622	5308	2036
623	5317	2028
624	5328	2020
625	5336	2011
626	5343	2002
627	5349	1993
628	5357	1984
629	5366	1976
630	5373	1967
631	5380	1958
632	5387	1949
633	5393	1939
634	5400	1930
635	5407	1921
636	5414	1912
637	5420	1903
638	5427	1893
639	5433	1884
640	5450	1879
641	5456	1869
642	5462	1860
643	5479	1854
644	5485	1845
645	5491	1836
646	5497	1826
647	5503	1817
648	5527	1814
649	5557	1812
650	5563	1803
651	5572	1794
652	5578	1785
653	5584	1776
654	5591	1766
655	5597	1757
656	5602	1748
657	5608	1738
658	5615	1729
659	5622	1720
660	5628	1711
661	5634	1702
662	5641	1693
663	5647	1684
664	5653	1674
665	5660	1665
666	5679	1660
667	5685	1651
668	5692	1642
669	5698	1633
670	5710	1625
671	5716	1616
672	5723	1607
673	5729	1598
674	5734	1588
675	5742	1579
676	5748	1570
677	5756	1562
678	5762	1553
679	5769	1544
680	5785	1537
681	5792	1528
682	5800	1520
683	5807	1511
684	5813	1502
685	5819	1492
686	5826	1484
687	5832	1475
688	5838	1466
689	5846	1457
690	5854	1448
691	5862	1440
692	5870	1431
693	5893	1426
694	5907	1419
695	5914	1410
696	5920	1401
697	5941	1395
698	5947	1386
699	5954	1378
700	5960	1368
701	5966	1359
702	6001	1357
703	6008	1348
704	6015	1339
705	6022	1330
706	6032	1322
707	6039	1313
708	6047	1304
709	6061	1297
710	6068	1288
711	6075	1279
712	6082	1271
713	6089	1262
714	6107	1255
715	6114	1246
716	6121	1237
717	6128	1229
718	6135	1220
719	6142	1211
720	6149	1202
721	6156	1193
722	6162	1184
723	6169	1175
724	6176	1167
725	6184	1158
726	6191	1149
727	6199	1141
728	6206	1132
729	6213	1123
730	6220	1114
731	6228	1106
732	6236	1097
733	6259	1091
734	6273	1083
735	6282	1075
736	6306	1069
737	6320	1061
738	6327	1053
739	6334	1044
740	6342	1035
741	6351	1027
742	6360	1018
743	6369	1010
744	6378	1001
745	6386	993
746	6395	984
747	6405	976
748	6413	967
749	6429	960
750	6444	952
751	6459	944
752	6466	936
753	6474	927
754	6481	918
755	6488	909
756	6496	901
757	6502	892
758	6520	884
759	6529	876
760	6536	867
761	6544	858
762	6552	850
763	6561	841
764	6579	834
765	6586	825
766	6594	816
767	6601	808
768	6627	801
769	6634	792
770	6642	783
771	6648	775
772	6656	766
773	6670	758
774	6678	749
775	6702	742
776	6709	733
777	6716	725
778	6724	716
779	6732	707
780	6739	698
781	6745	690
782	6752	681
783	6759	672
784	6778	664
785	6800	657
786	6812	649
787	6823	640
788	6844	633
789	6854	624
790	6861	615
791	6869	607
792	6879	598
793	6891	590
794	6903	581
795	6910	572
796	6917	564
797	6925	555
798	6934	546
799	6942	538
800	6964	530
801	6981	522
802	6988	513
803	6997	504
804	7004	496
805	7012	487
806	7021	478
807	7029	469
808	7038	461
809	7045	452
810	7053	443
811	7062	434
812	7071	426
813	7079	417
814	7087	408
815	7099	400
816	7106	391
817	7114	382
818	7121	373
819	7129	365
820	7138	356
821	7159	348
822	7174	339
823	7182	331
824	7190	322
825	7198	313
826	7204	304
827	7211	296
828	7218	287
829	7224	278
830	7232	269
831	7239	261
832	7247	252
833	7266	243
834	7272	235
835	7280	226
836	7286	217
837	7294	208
838	7301	200
839	7309	191
840	7317	182
841	7324	173
842	7331	165
843	7338	156
844	7345	147
845	7351	139
846	7358	130
847	7364	121
848	7372	112
849	7378	104
850	7385	95
851	7393	86
852	7400	78
853	7417	69
854	7448	60
855	7455	52
856	7464	43
857	7471	34
858	7478	26
859	7485	17
860	7496	8
861	7503	0
